node_id,x,y,fx,fy,ux_fixed,uy_fixed,Rx,Ry,dx,dy
0,0.0,0.0,0.0,0.0,False,True,,30.000000000000004,-89.74888278816778,0.0
1,1.0,2.0,0.0,0.0,False,False,,,-61.96844228345786,-15.567271235479788
2,2.0,2.0,0.0,0.0,False,False,,,-61.668442283457864,-26.383384229862216
3,3.0,4.0,0.0,-20.0,False,False,,,-47.42444139408389,-33.50538467454921
4,6.0,4.0,0.0,0.0,False,False,,,-46.8244413940839,-49.363182076110775
5,7.0,6.0,0.0,-10.0,False,False,,,-43.574441394083884,-50.149656584548346
6,9.0,4.0,0.0,0.0,False,False,,,-44.874441394083895,-51.44965658454835
7,11.0,6.0,0.0,-10.0,False,False,,,-46.174441394083885,-50.149656584548346
8,12.0,4.0,0.0,0.0,False,False,,,-42.9244413940839,-49.36318207611075
9,15.0,4.0,0.0,-20.0,False,False,,,-42.3244413940839,-33.50538467454918
10,16.0,2.0,0.0,0.0,False,False,,,-28.080440504709927,-26.3833842298622
11,17.0,2.0,0.0,0.0,False,False,,,-27.780440504709926,-15.567271235479797
12,18.0,0.0,0.0,0.0,True,True,-9.992007221626409e-15,29.999999999999996,0.0,0.0
